zcta5,county_geoid,land_share_tx
76310,48009,0.4642016470147066
76311,48485,1
76351,48009,1
76354,48485,1
76357,48077,1
76360,48485,0.49745412756811325
76363,48275,1
76364,48487,1
76365,48077,0.9680832524728223
76366,48009,1
76367,48485,1
76370,48009,1
76371,48275,0.9667895963218114
76372,48447,0.5123669232516335
76373,48487,1
76374,48503,0.7839602883234003
76377,48077,1
76379,48009,1
76380,48023,0.9228084627481707
76384,48487,0.9957671923068248
76388,48207,1
76389,48009,0.7193404961483214
76401,48143,1
76402,48143,1
76424,48429,0.9658038959693557
76426,48497,0.8745161583952805
76427,48237,1
76429,48429,0.9178013383517203
76430,48417,0.9708390140274108
76431,48497,0.744940995643242
76432,48049,0.5788015760977623
76433,48143,0.7514118177587631
76435,48133,1
76436,48093,0.8562753281971972
76437,48133,0.6928942165945488
76439,48367,1
76442,48093,0.908825151991087
76443,48059,0.72906635717213375
76444,48093,0.9887830283389487
76445,48133,0.8009247575693768
76446,48143,0.7151974473022716
76448,48133,1
76449,48363,0.9920168373788067
76450,48503,0.850998669241375
76452,48093,1
76453,48363,0.8075220135213309
76454,48133,0.7573508436970078
76455,48093,1
76457,48193,0.5803456694788761
76458,48237,0.994580514710916
76459,48237,1
76460,48503,1
76462,48221,0.36540357244645827
76463,48143,0.8928237806814399
76464,48417,0.5811464626471917
76466,48133,1
76469,48059,1
76470,48133,0.5439883191875978
76471,48133,0.6414102654567373
76472,48363,1
76474,48093,0.9652745652644489
76475,48363,0.7297085213399045
76476,48221,1
76481,48503,1
76483,48447,1
76484,48363,1
76486,48237,0.6653395104035595
76487,48367,0.661075487619116
76490,48367,1
76491,48447,0.9860957704467361
76501,48027,1
76502,48027,1
76504,48027,1
76511,48027,0.5710146618160935
76513,48027,1
76518,48331,1
76519,48331,0.570423594233782
76520,48331,1
76522,48099,0.8026210025555559
76523,48331,1
76524,48145,0.803587745798994
76525,48193,0.514623572554616
76527,48491,0.8573728292068977
76528,48099,0.9839050922694073
76530,48491,1
76531,48193,0.9616741453383261
76534,48027,0.932346788840351
76537,48491,1
76538,48193,0.6906922251835713
76539,48281,0.7142590867091361
76541,48027,1
76542,48027,1
76543,48027,1
76544,48099,0.7913618943147964
76548,48027,1
76549,48027,0.8853534080448867
76550,48281,0.584390609155133
76554,48027,1
76556,48331,0.9923225208002474
76557,48027,0.4504100448149901
76559,48027,1
76561,48099,0.8947724139923976
76565,48193,1
76566,48099,0.6838142091943623
76567,48331,0.9057510932153975
76569,48027,0.7240963185808138
76570,48145,0.6654363567513671
76571,48027,1
76573,48491,1
76574,48491,0.9985528667092103
76577,48331,0.9036579680015956
76578,48491,0.9921905394232882
76579,48027,0.8543175350595034
76596,48099,1
76597,48099,1
76598,48099,1
76599,48099,1
76621,48217,0.9628378056407152
76622,48217,0.9791428275007171
76623,48139,1
76624,48309,0.8779799764028915
76626,48349,0.9478967813508676
76627,48217,1
76628,48217,1
76629,48395,0.8164878911665479
76630,48309,0.9252600073131306
76631,48217,1
76632,48145,1
76633,48309,0.7303058678915252
76634,48035,0.9785580518326686
76635,48293,1
76636,48217,1
76637,48035,0.5661304887100628
76638,48309,1
76639,48349,1
76640,48309,1
76641,48349,0.9130719408118132
76642,48293,1
76643,48309,1
76645,48217,1
76648,48217,0.7544508662422388
76649,48035,0.7920417162830109
76650,48217,1
76651,48139,1
76652,48035,1
76653,48293,0.5797976368623919
76654,48309,1
76655,48309,0.8335960941739119
76656,48145,1
76657,48309,0.9247379040309777
76660,48217,1
76661,48145,1
76664,48293,0.6475487164693828
76665,48035,1
76666,48217,0.6310418880853228
76667,48293,0.8197537555373832
76670,48139,0.625066212210965
76671,48035,1
76673,48217,0.6135623201989573
76676,48217,1
76678,48293,1
76679,48349,1
76680,48145,1
76681,48349,1
76682,48145,0.6086269807643012
76685,48145,1
76686,48293,1
76687,48293,0.8266591656143395
76689,48035,0.5855915705560713
76690,48035,0.6189021690666914
76691,48309,0.9264807427078499
76692,48217,1
76693,48161,0.5232497515532287
76701,48309,1
76704,48309,1
76705,48309,1
76706,48309,0.9570646473825408
76707,48309,1
76708,48309,1
76710,48309,1
76711,48309,1
76712,48309,1
76798,48309,1
76801,48049,0.9473338432145638
76802,48049,1
76820,48319,1
76821,48399,1
76823,48049,0.8748923572652444
76824,48411,1
76825,48307,0.9722687911172561
76827,48049,0.9309234576322012
76828,48083,1
76831,48299,1
76832,48411,1
76834,48083,1
76836,48307,0.611552492691911
76837,48095,1
76841,48413,0.6746654405933782
76842,48319,0.5934823802710696
76844,48333,0.9539088992688698
76845,48083,1
76848,48327,1
76849,48267,0.9700249820524172
76852,48307,1
76853,48281,0.8772114348895884
76854,48267,0.8579615767508442
76856,48319,1
76857,48049,0.9587230063134602
76858,48095,0.66322249035168
76859,48327,0.8564676293269702
76861,48451,0.6000875881995178
76862,48095,1
76864,48333,1
76865,48399,1
76866,48095,1
76869,48411,0.39078041528953417
76870,48333,1
76871,48411,0.9083990833050332
76872,48307,0.7929106117420106
76873,48083,1
76874,48267,0.5676453540590667
76875,48399,0.6265028795170468
76877,48411,1
76878,48083,1
76880,48333,1
76882,48399,0.5507196484049451
76884,48083,1
76885,48299,1
76887,48307,1
76888,48083,1
76890,48049,0.7822539417700825
76901,48451,0.7227160801957728
76902,48451,1
76903,48451,1
76904,48451,0.9208713095924336
76905,48451,1
76908,48451,1
76909,48451,1
76930,48235,0.5019246492713049
76932,48383,0.6300583402039752
76933,48081,0.6974900988025687
76934,48451,1
76935,48413,0.5129985672041082
76936,48413,1
76937,48451,0.8038968856201321
76939,48451,1
76940,48451,1
76941,48235,1
76943,48105,0.7437746388898251
76945,48081,0.9478779678012693
76950,48435,0.7931259695762285
76951,48431,1
76953,48081,1
76955,48451,0.7416241196745794
76957,48451,1
76958,48451,1
77002,48201,1
77003,48201,1
77004,48201,1
77005,48201,1
77006,48201,1
77007,48201,1
77008,48201,1
77009,48201,1
77010,48201,1
77011,48201,1
77012,48201,1
77013,48201,1
77014,48201,1
77015,48201,1
77016,48201,1
77017,48201,1
77018,48201,1
77019,48201,1
77020,48201,1
77021,48201,1
77022,48201,1
77023,48201,1
77024,48201,1
77025,48201,1
77026,48201,1
77027,48201,1
77028,48201,1
77029,48201,1
77030,48201,1
77031,48201,0.9912073049075292
77032,48201,1
77033,48201,1
77034,48201,1
77035,48201,1
77036,48201,1
77037,48201,1
77038,48201,1
77039,48201,1
77040,48201,1
77041,48201,1
77042,48201,1
77043,48201,1
77044,48201,1
77045,48201,1
77046,48201,1
77047,48201,1
77048,48201,1
77049,48201,1
77050,48201,1
77051,48201,1
77053,48157,0.6897425231569476
77054,48201,1
77055,48201,1
77056,48201,1
77057,48201,1
77058,48201,1
77059,48201,1
77060,48201,1
77061,48201,1
